@relation UniversalBank-weka.filters.unsupervised.attribute.Remove-R4

@attribute Age numeric
@attribute Experience numeric
@attribute Income numeric
@attribute Family numeric
@attribute CCAvg numeric
@attribute Education {Under,Grad,Prof}
@attribute Mortgage numeric
@attribute SecuritiesAccount {Yes,No}
@attribute CDAccount {No,Yes}
@attribute Online {No,Yes}
@attribute CreditCard {No,Yes}
@attribute PersonalLoan {No,Yes}

@data
31,5,50,4,1.8,Prof,0,No,No,Yes,No,No
48,24,81,3,0.7,Under,0,No,No,No,No,No
59,35,121,1,2.9,Under,0,No,No,No,Yes,No
51,25,71,1,1.4,Prof,198,No,No,No,No,No
42,18,141,3,5,Prof,0,Yes,Yes,Yes,No,Yes
38,13,80,4,0.7,Prof,285,No,No,Yes,No,No
57,32,84,3,1.6,Prof,0,Yes,No,No,No,No
34,9,60,3,2.3,Under,0,No,No,No,No,No
32,7,132,4,1.1,Grad,412,No,No,Yes,No,Yes
39,15,45,1,0.7,Under,0,No,No,Yes,No,No
46,20,104,1,5.7,Under,0,No,No,Yes,Yes,No
57,31,52,4,2.5,Under,0,No,No,No,Yes,No
39,14,43,3,0.7,Grad,153,No,No,Yes,No,No
37,12,194,4,0.2,Prof,211,Yes,Yes,Yes,Yes,Yes
56,26,81,2,4.5,Prof,0,No,No,No,Yes,No
40,16,49,1,1.8,Under,0,No,No,No,Yes,No
32,8,8,4,0.7,Grad,0,Yes,No,Yes,No,No
61,37,131,1,2.9,Under,0,No,No,Yes,No,No
30,6,72,1,0.1,Under,207,No,No,No,No,No
50,26,190,3,2.1,Prof,240,No,No,Yes,No,Yes
29,5,44,1,0.2,Prof,0,No,No,Yes,No,No
41,17,139,2,8,Under,0,No,No,Yes,No,No
55,30,29,3,0.1,Grad,0,Yes,Yes,Yes,No,No
56,31,131,2,1.2,Prof,0,No,No,No,No,Yes
28,2,93,2,0.2,Under,0,No,No,No,No,No
31,5,188,2,4.5,Under,455,No,No,No,No,No
49,24,39,3,1.7,Grad,0,Yes,No,Yes,No,No
47,21,125,1,5.7,Under,112,Yes,No,No,No,No
42,18,22,1,1,Under,0,No,No,No,No,No
42,17,32,4,0,Grad,0,No,No,Yes,No,No
47,23,105,2,3.3,Under,0,No,No,No,No,No
59,35,131,1,3.8,Under,0,No,No,Yes,Yes,No
62,36,105,2,2.8,Under,336,No,No,No,No,No
53,23,45,4,2,Prof,132,Yes,No,No,No,No
47,21,60,3,2.1,Under,0,No,No,Yes,Yes,No
53,29,20,4,0.2,Under,0,No,No,Yes,No,No
42,18,115,1,3.5,Under,0,No,No,No,Yes,No
53,29,69,4,1,Grad,0,No,No,Yes,No,No
44,20,130,1,5,Under,0,No,No,No,Yes,No
41,16,85,1,4,Prof,0,No,No,Yes,Yes,No
28,3,135,2,3.3,Under,0,No,No,No,Yes,No
31,7,135,4,3.8,Grad,0,No,Yes,Yes,Yes,Yes
58,32,12,3,0.3,Prof,0,No,No,No,No,No
46,20,29,3,0.5,Grad,0,No,No,No,No,No
54,30,133,2,2.6,Prof,0,No,No,No,No,Yes
50,26,19,2,0.4,Under,118,No,No,Yes,No,No
60,36,41,4,1.3,Under,174,No,No,Yes,Yes,No
47,22,40,3,2.7,Grad,0,No,No,Yes,No,No
41,16,82,1,4,Prof,0,No,No,Yes,No,No
33,9,50,1,2.4,Grad,0,No,No,No,No,No
46,22,18,1,0.9,Prof,0,No,No,Yes,No,No
27,2,109,4,1.8,Prof,0,No,No,No,No,No
40,16,42,4,2.2,Grad,126,No,No,No,No,No
48,22,78,3,1.1,Under,0,No,No,Yes,No,No
65,41,51,2,1.1,Under,0,No,No,Yes,No,No
25,-1,113,4,2.3,Prof,0,No,No,No,Yes,No
55,30,118,4,5.6,Grad,0,No,No,Yes,No,Yes
35,10,29,4,1.1,Prof,0,No,No,Yes,No,No
43,19,34,3,0.6,Grad,0,No,No,No,No,No
60,34,64,2,1.7,Prof,236,Yes,No,Yes,No,No
65,39,121,1,2,Under,0,No,No,No,No,No
38,12,48,4,0.2,Prof,0,No,No,Yes,No,No
41,15,80,1,5.2,Under,0,No,No,No,No,No
54,28,161,1,2.9,Under,0,No,No,Yes,No,No
49,23,94,1,0.3,Under,0,No,No,Yes,No,No
66,41,15,3,0.1,Prof,0,No,No,Yes,No,No
48,23,74,1,1.2,Under,0,No,No,Yes,No,No
61,36,30,3,1.3,Grad,0,No,No,No,No,No
53,23,44,3,1,Prof,198,No,No,Yes,Yes,No
43,18,22,2,0.3,Grad,0,No,No,Yes,No,No
56,32,38,4,1.3,Under,166,No,No,Yes,Yes,No
24,0,35,3,0.1,Grad,0,Yes,No,Yes,No,No
43,17,69,4,2.9,Under,0,No,No,Yes,Yes,No
42,18,43,1,0.7,Under,136,No,No,No,No,No
33,7,32,1,0.6,Prof,166,No,No,Yes,No,No
43,17,49,1,2.8,Under,0,No,No,Yes,No,No
41,14,9,3,1,Grad,0,No,No,No,No,No
62,38,45,4,1.3,Grad,0,No,No,Yes,No,No
40,15,82,3,1,Under,309,No,No,No,No,No
58,34,92,2,2.8,Under,103,No,No,No,No,No
39,14,39,3,0.5,Prof,0,No,No,Yes,No,No
65,40,81,3,1.8,Grad,0,No,No,Yes,No,No
54,29,35,1,1.5,Grad,0,No,No,Yes,No,No
58,33,61,2,2.3,Prof,193,No,No,Yes,No,No
41,16,73,3,3,Under,0,No,No,Yes,No,No
32,7,112,1,4.6,Under,366,No,No,No,No,No
54,29,12,2,0.2,Prof,0,No,No,Yes,No,No
52,26,38,3,0.9,Prof,0,No,No,Yes,No,No
58,32,73,2,0.7,Grad,0,No,No,Yes,Yes,No
37,13,84,1,3.6,Grad,0,Yes,No,No,No,No
39,15,78,4,2.4,Under,118,No,No,Yes,No,No
60,35,80,3,0.5,Under,0,No,No,Yes,No,No
31,5,115,2,1.3,Under,101,No,No,Yes,Yes,No
34,8,82,1,2.7,Grad,251,No,No,Yes,No,No
38,14,74,2,0,Under,0,Yes,No,Yes,No,No
41,16,70,3,0.5,Prof,0,No,No,No,Yes,No
28,4,81,3,1.5,Under,276,No,No,Yes,No,No
58,34,149,4,7.2,Grad,0,No,Yes,Yes,Yes,Yes
31,1,51,2,1.75,Prof,0,No,No,No,No,No
30,4,39,3,1.1,Grad,0,No,No,Yes,No,No
53,29,98,3,1.8,Grad,0,No,No,No,No,No
58,33,45,4,2.1,Under,0,No,No,Yes,Yes,No
59,32,49,4,2.5,Grad,0,No,No,Yes,No,No
49,25,128,2,0.4,Under,0,No,No,No,No,No
59,34,42,3,1.5,Under,0,Yes,Yes,No,Yes,No
59,35,18,1,1.2,Prof,0,No,No,Yes,No,No
51,25,31,2,0.4,Prof,161,No,No,Yes,Yes,No
35,11,58,3,2,Under,149,No,No,Yes,Yes,No
33,9,48,1,2.1,Prof,0,No,No,No,Yes,No
25,1,54,4,1.6,Under,0,No,No,Yes,Yes,No
49,23,70,2,1.5,Grad,0,No,No,No,No,No
59,35,124,1,7.4,Under,0,No,No,No,Yes,No
46,19,84,1,2.67,Grad,0,No,No,Yes,Yes,No
50,25,83,4,3.6,Prof,188,No,No,Yes,No,No
52,28,163,2,0.4,Under,116,No,No,Yes,No,No
48,22,42,3,2.2,Grad,0,No,No,No,No,No
46,22,118,2,7.5,Under,0,No,Yes,Yes,Yes,No
26,0,132,3,6.5,Prof,0,No,No,No,Yes,Yes
57,32,24,1,1.3,Under,0,No,No,Yes,Yes,No
60,36,22,2,1,Under,0,Yes,Yes,Yes,Yes,No
54,29,58,4,1.3,Prof,0,No,No,No,No,No
24,0,60,4,1.6,Under,0,No,No,Yes,No,No
26,0,15,4,0.4,Under,0,No,No,No,Yes,No
41,17,83,4,2.67,Under,0,No,No,Yes,Yes,No
32,6,79,2,1.5,Prof,0,No,No,Yes,Yes,No
61,35,41,4,1.7,Grad,0,Yes,No,Yes,No,No
29,0,134,4,6.5,Prof,0,No,No,No,No,Yes
61,35,80,2,2.8,Under,0,No,No,Yes,No,No
38,12,52,1,2,Under,0,No,No,No,No,No
28,4,70,4,2.6,Under,0,No,No,Yes,No,No
53,27,92,2,1.1,Under,0,Yes,No,No,No,No
27,1,43,1,1.5,Under,0,No,No,Yes,No,No
25,1,21,3,1,Grad,0,No,No,No,No,No
33,9,23,3,0.9,Prof,0,No,No,Yes,Yes,No
50,26,13,4,1,Under,0,No,No,Yes,No,No
27,1,112,4,2.1,Prof,0,No,No,No,Yes,No
27,1,138,2,2,Under,0,No,No,Yes,No,No
52,28,11,3,0.4,Under,0,Yes,No,No,No,No
38,13,171,2,7.8,Under,0,No,No,Yes,No,No
58,34,42,4,1.5,Under,0,No,No,Yes,Yes,No
42,17,168,2,7.9,Grad,0,No,No,Yes,No,Yes
45,20,85,4,1.1,Grad,0,Yes,No,Yes,No,No
52,25,44,3,1,Grad,135,No,No,Yes,No,No
29,3,65,4,1.8,Grad,244,No,No,No,No,No
53,29,24,4,0.2,Under,0,No,No,Yes,Yes,No
62,37,11,1,0.1,Under,0,No,No,Yes,No,No
51,27,38,2,1,Prof,164,No,No,Yes,No,No
36,12,10,4,0.7,Grad,81,No,No,No,No,No
24,0,135,1,1.5,Under,0,No,No,Yes,No,No
29,3,148,3,4.1,Under,0,No,No,Yes,No,Yes
52,26,63,2,1.5,Grad,0,Yes,No,Yes,No,No
39,14,115,1,1,Prof,0,No,No,Yes,No,No
48,23,45,1,0.3,Under,0,No,No,Yes,Yes,No
46,21,159,3,1.9,Prof,315,No,No,Yes,No,Yes
64,40,169,2,2.1,Under,122,No,No,Yes,No,No
55,29,112,2,1.4,Under,0,No,No,Yes,No,No
60,36,93,1,4.3,Under,0,No,No,Yes,No,No
51,25,29,1,0.3,Prof,140,No,No,No,No,No
50,23,85,1,2.67,Grad,0,No,No,Yes,No,No
48,24,21,4,0.6,Under,0,No,No,Yes,Yes,No
53,29,144,2,6.8,Under,0,No,No,Yes,No,No
34,10,13,4,1,Under,95,Yes,No,Yes,No,No
48,24,165,1,5,Under,0,No,No,No,Yes,No
55,31,9,4,0.7,Under,89,No,No,Yes,No,No
27,3,59,4,0,Under,90,Yes,No,Yes,No,No
36,11,158,1,5.1,Prof,0,No,Yes,Yes,Yes,Yes
32,6,29,1,1.9,Prof,0,No,No,Yes,Yes,No
35,9,20,2,1.4,Prof,0,No,No,Yes,Yes,No
30,3,68,4,2,Grad,0,No,No,Yes,No,No
58,34,65,4,2.2,Under,0,No,No,Yes,No,No
56,31,61,2,1.9,Grad,105,No,No,No,No,No
38,12,91,4,1.4,Grad,100,No,No,No,Yes,No
49,25,31,1,1,Under,0,Yes,No,Yes,No,No
34,10,71,4,0.1,Grad,0,No,No,No,No,No
40,16,73,4,2.67,Under,0,No,No,Yes,Yes,No
64,39,172,4,3.1,Under,282,No,Yes,Yes,Yes,Yes
51,26,20,2,0,Under,0,No,No,No,No,No
44,18,55,1,0.2,Under,0,No,No,No,No,No
46,22,69,2,1.7,Under,209,No,No,No,No,No
57,33,155,1,7.4,Under,0,No,No,Yes,No,No
54,28,94,1,1.9,Grad,0,No,No,No,No,No
38,14,92,2,0,Under,249,No,No,Yes,Yes,No
27,3,125,2,0.6,Under,0,No,No,No,No,No
39,14,74,3,3,Under,0,No,No,No,No,No
44,20,72,3,0.3,Prof,0,No,No,Yes,No,No
56,30,61,1,2.2,Prof,0,No,No,Yes,Yes,No
32,6,25,2,0.3,Under,0,No,No,No,Yes,No
45,19,83,2,1.7,Grad,0,No,No,Yes,No,No
26,2,104,3,2.5,Under,0,No,No,No,No,No
55,25,41,3,1,Prof,0,No,No,Yes,No,No
52,27,58,4,1.8,Prof,91,No,No,No,No,No
39,13,93,1,1.5,Prof,0,No,No,No,Yes,No
24,-1,39,2,1.7,Grad,0,No,No,No,No,No
47,23,148,2,7.5,Under,0,No,Yes,Yes,Yes,No
47,22,53,4,1.9,Prof,98,Yes,Yes,No,Yes,No
48,24,71,2,1.7,Under,145,No,No,No,Yes,No
47,22,92,1,2.8,Grad,0,No,No,Yes,No,No
35,10,61,4,2.1,Prof,0,No,No,Yes,No,No
46,19,38,3,2.5,Grad,135,No,No,No,No,No
62,37,58,4,1.7,Under,0,No,No,Yes,No,No
26,1,80,1,0.8,Grad,150,No,No,No,No,No
38,8,71,4,1.8,Prof,0,No,No,Yes,No,No
43,18,89,3,0.5,Prof,0,No,No,Yes,Yes,No
62,38,83,1,1.8,Prof,0,No,No,Yes,No,No
57,32,28,3,0.2,Under,0,No,No,Yes,Yes,No
28,3,52,4,1.7,Grad,0,No,No,No,No,No
51,26,70,1,1.2,Under,169,No,No,No,No,No
48,22,71,1,1.4,Prof,0,No,No,No,Yes,No
41,16,75,1,3.7,Prof,280,No,No,No,No,No
65,39,170,3,7.9,Prof,99,No,Yes,Yes,No,Yes
41,17,78,4,0.8,Under,78,No,No,Yes,No,No
35,11,25,2,1,Grad,0,No,No,No,No,No
38,14,60,2,0.6,Prof,0,No,No,Yes,Yes,No
53,29,120,4,2.7,Grad,111,Yes,Yes,Yes,No,Yes
55,29,99,2,1.4,Under,264,No,No,Yes,Yes,No
26,1,55,3,2.6,Prof,113,No,No,No,Yes,No
30,6,29,3,1,Grad,117,No,No,No,No,No
54,28,170,2,6.2,Grad,325,No,No,Yes,No,Yes
65,40,53,3,2.2,Under,0,No,No,No,Yes,No
47,21,138,1,0,Under,0,No,No,No,No,No
65,41,134,3,3.9,Prof,121,No,No,Yes,No,Yes
66,40,42,2,0.7,Prof,138,No,No,No,Yes,No
26,0,99,4,2.3,Prof,0,No,No,No,Yes,No
66,41,18,3,0.5,Under,0,No,No,No,Yes,No
35,9,24,4,0.3,Under,0,No,No,Yes,No,No
56,30,55,1,1.4,Under,77,No,No,Yes,No,No
51,27,58,1,0,Under,0,No,No,No,Yes,No
42,16,111,2,1.2,Prof,251,No,No,Yes,No,Yes
49,23,33,1,0.3,Prof,0,No,Yes,Yes,Yes,No
27,1,74,4,1.8,Grad,112,No,No,Yes,Yes,No
45,19,38,2,0.7,Under,0,No,No,No,No,No
49,23,23,4,0.6,Prof,98,Yes,No,No,No,No
63,38,61,2,1.5,Under,0,No,No,Yes,No,No
47,22,81,1,2.9,Under,138,No,No,No,No,No
64,39,129,1,2.5,Under,0,No,No,Yes,No,No
43,13,33,1,0.75,Prof,0,No,No,No,No,No
60,36,63,4,2.2,Under,0,No,No,Yes,No,No
40,14,70,4,1.4,Grad,0,No,No,Yes,No,No
29,3,45,4,0.2,Under,158,No,No,Yes,Yes,No
41,16,65,3,0.5,Prof,0,No,No,Yes,No,No
30,5,74,4,2.2,Under,0,Yes,No,No,Yes,No
49,24,50,4,1.8,Prof,0,Yes,No,No,No,No
30,5,22,4,0.5,Prof,109,No,No,Yes,No,No
29,2,30,4,1,Prof,0,No,No,No,No,No
50,26,21,4,1,Under,0,No,No,Yes,No,No
39,14,155,2,3.9,Under,0,No,No,Yes,No,No
33,8,64,4,2.1,Prof,164,No,No,Yes,No,No
57,31,65,4,2.6,Prof,0,No,No,No,Yes,No
34,9,71,4,0.7,Prof,0,No,No,Yes,No,No
61,36,40,3,0.5,Grad,0,Yes,No,Yes,No,No
44,19,69,3,0.5,Prof,0,No,No,Yes,No,No
40,13,69,3,2.33,Grad,0,No,No,No,No,No
51,25,45,3,0.6,Grad,131,No,No,Yes,No,No
37,12,62,3,0.7,Grad,0,No,No,No,Yes,No
44,19,172,2,4.3,Prof,391,Yes,Yes,Yes,No,Yes
42,15,24,3,1,Grad,0,No,No,Yes,Yes,No
51,25,80,1,4.9,Under,0,No,No,No,No,No
43,16,8,3,0.67,Grad,88,No,No,Yes,No,No
30,5,38,4,0.8,Under,129,No,No,Yes,Yes,No
45,19,93,4,2.6,Prof,0,No,No,No,No,No
35,9,55,1,2,Under,0,No,No,Yes,No,No
60,34,64,2,1.7,Prof,0,No,No,No,Yes,No
34,9,122,1,0,Under,0,No,No,Yes,No,No
55,25,70,3,1.4,Prof,0,No,No,Yes,No,No
43,19,81,2,3.2,Under,0,No,No,No,No,No
41,15,159,1,5.5,Prof,0,No,Yes,Yes,No,Yes
34,9,70,4,1.3,Under,0,Yes,No,No,No,No
65,39,150,2,6.9,Under,196,No,No,No,No,No
45,21,152,2,7.5,Under,0,No,No,Yes,No,No
49,25,195,4,3,Under,617,No,No,No,No,Yes
48,23,22,1,0.1,Under,0,No,No,No,No,No
60,35,22,1,1.3,Under,123,No,No,Yes,No,No
55,29,79,3,0.8,Under,0,No,No,Yes,Yes,No
42,18,33,1,1.4,Prof,0,No,No,Yes,No,No
32,8,128,2,4.33,Under,0,No,Yes,Yes,Yes,No
62,38,91,1,3.8,Under,0,Yes,No,Yes,No,No
57,32,39,4,0.9,Under,0,No,No,Yes,Yes,No
52,26,121,1,7.3,Under,167,No,No,Yes,No,No
36,6,21,1,0.67,Prof,0,Yes,No,Yes,No,No
34,9,41,3,2.3,Under,0,No,No,No,Yes,No
63,37,45,2,0.7,Prof,0,No,No,Yes,No,No
24,-2,51,3,0.3,Prof,0,No,No,Yes,No,No
57,31,165,1,1.6,Grad,0,No,No,Yes,No,Yes
40,16,119,2,4.2,Grad,0,No,No,Yes,No,Yes
27,2,110,4,1.8,Prof,190,No,No,Yes,No,No
65,39,20,3,0.7,Grad,0,No,No,No,Yes,No
60,34,64,1,0.8,Grad,248,No,No,No,No,No
44,20,101,3,4.4,Grad,82,No,No,No,No,Yes
63,39,101,1,3.9,Under,0,Yes,Yes,Yes,No,Yes
59,34,99,1,4.4,Under,0,No,No,No,No,Yes
56,30,158,4,6.1,Under,0,No,No,No,No,Yes
54,28,89,1,1.9,Grad,0,No,No,Yes,Yes,No
52,27,80,1,1.3,Prof,0,No,Yes,Yes,Yes,No
58,32,114,2,2,Under,402,No,No,Yes,No,No
60,35,49,3,0.5,Grad,0,No,No,Yes,Yes,No
28,4,191,1,6.33,Under,0,No,No,Yes,No,No
54,30,78,4,1,Grad,0,No,No,Yes,No,No
32,6,28,3,1,Under,0,No,No,No,No,No
59,33,42,1,0.8,Grad,0,No,No,Yes,No,No
63,38,140,1,2.5,Under,0,No,No,No,No,No
48,23,45,1,1.3,Grad,0,No,No,Yes,No,No
56,32,122,2,0.3,Under,360,No,Yes,Yes,Yes,No
36,12,65,3,2.6,Grad,0,No,No,Yes,No,No
57,27,68,1,1.4,Prof,0,No,No,Yes,No,No
29,3,153,2,2,Under,392,No,No,No,No,No
39,13,89,4,1.4,Grad,0,No,No,No,No,No
59,34,91,1,2.6,Under,0,No,No,Yes,Yes,No
31,6,55,4,2,Grad,185,No,No,Yes,No,No
43,19,118,2,3.3,Under,0,No,No,No,Yes,No
35,5,22,1,0.67,Prof,103,No,No,No,No,No
54,24,63,3,1.4,Prof,138,No,No,Yes,Yes,No
51,27,12,4,0.5,Grad,78,Yes,No,Yes,No,No
44,19,50,3,2.7,Grad,0,No,No,Yes,No,No
25,0,43,2,1.6,Prof,0,Yes,Yes,Yes,Yes,No
40,15,173,4,6.6,Under,0,No,Yes,Yes,Yes,Yes
26,2,60,2,3,Under,132,No,No,No,No,Yes
39,14,113,1,1,Prof,0,Yes,No,Yes,No,No
28,4,155,4,5.3,Grad,0,No,No,Yes,No,Yes
52,28,91,4,1,Grad,0,No,No,No,Yes,No
53,29,55,4,1.1,Grad,0,No,No,Yes,No,No
44,20,173,2,1.4,Under,419,No,No,Yes,No,No
43,19,71,3,0.3,Prof,0,No,No,No,Yes,No
56,30,24,2,0.4,Prof,88,No,No,No,No,No
38,14,42,1,2,Grad,81,No,No,Yes,No,No
30,6,141,2,4.33,Under,0,No,No,Yes,No,No
32,6,32,1,1.9,Prof,0,No,No,Yes,No,No
35,10,55,4,1.3,Under,0,No,No,No,No,No
43,19,153,2,7.5,Under,0,No,No,Yes,No,No
58,32,113,2,1.4,Under,270,No,No,No,Yes,No
25,0,30,2,1.7,Grad,0,No,No,No,No,No
54,24,29,3,1,Prof,148,No,No,No,Yes,No
57,32,174,1,6.8,Grad,466,No,No,Yes,No,Yes
50,24,35,1,0.3,Prof,0,No,No,Yes,No,No
32,8,98,2,2,Grad,175,No,No,Yes,No,No
63,37,30,2,1,Prof,159,No,No,Yes,No,No
31,6,58,2,2.5,Under,0,No,No,No,Yes,No
36,12,25,4,1,Under,147,No,No,No,No,No
58,34,19,4,0.7,Under,0,No,No,No,No,No
56,30,44,4,0.7,Grad,174,No,No,Yes,No,No
49,25,20,4,1,Under,111,No,No,Yes,Yes,No
30,5,98,2,3.1,Under,220,No,No,Yes,No,No
33,7,90,3,1.6,Under,0,No,No,Yes,No,No
45,21,61,3,0.7,Under,0,No,No,No,No,No
30,5,40,4,2,Grad,0,No,No,Yes,No,No
47,23,38,2,2.1,Prof,0,No,No,No,No,No
25,0,28,2,1.7,Grad,0,No,No,No,No,No
63,33,34,1,1.5,Prof,0,No,No,Yes,Yes,No
55,29,73,2,2.3,Prof,0,No,No,Yes,Yes,No
65,41,133,4,2,Under,0,No,No,No,Yes,Yes
44,18,53,1,0.2,Under,0,No,No,Yes,No,No
51,25,21,4,0.6,Prof,0,No,No,Yes,Yes,No
35,9,40,3,0.9,Under,0,No,No,Yes,No,No
30,5,41,4,1.7,Grad,0,No,No,Yes,No,No
31,5,82,4,1.8,Grad,0,No,No,Yes,No,No
54,30,100,4,3.4,Prof,0,No,No,No,No,Yes
45,20,155,1,7,Under,0,No,No,Yes,Yes,No
45,19,45,1,0.2,Under,0,No,No,Yes,No,No
58,32,9,3,0.3,Prof,0,No,No,No,Yes,No
54,29,48,4,1.8,Prof,0,No,No,Yes,No,No
53,28,18,4,0.1,Prof,109,Yes,Yes,Yes,Yes,No
33,9,80,4,3.4,Under,0,No,No,Yes,Yes,No
60,35,64,2,2.8,Under,0,No,No,No,No,No
50,24,29,4,0.1,Under,0,No,No,No,No,No
26,2,48,3,0.7,Grad,0,No,No,Yes,No,No
54,30,23,2,0.4,Under,0,No,No,No,No,No
28,3,84,4,0.2,Under,0,No,No,Yes,Yes,No
36,10,179,3,6.6,Under,0,No,No,Yes,No,Yes
29,2,30,4,1.5,Grad,112,No,No,No,Yes,No
54,28,93,1,4.9,Under,133,No,Yes,Yes,Yes,No
55,30,39,2,1.9,Grad,0,No,No,No,No,No
61,36,60,3,0.5,Grad,182,No,No,No,No,No
36,11,133,1,3.8,Under,290,Yes,Yes,Yes,Yes,No
45,19,125,1,2.4,Under,0,No,No,No,No,No
64,40,58,1,1.8,Prof,0,No,No,Yes,No,No
60,36,89,2,2.8,Under,0,No,No,Yes,No,No
49,22,82,1,2.67,Grad,125,No,No,Yes,No,No
47,23,110,2,3.3,Under,0,No,No,Yes,Yes,No
60,36,54,4,2.3,Prof,0,Yes,No,No,No,No
45,20,89,4,1.9,Prof,0,No,No,Yes,No,No
32,7,42,3,2.3,Under,0,No,No,Yes,No,No
52,28,41,3,1.9,Grad,0,No,No,No,Yes,No
35,8,38,4,1,Grad,124,No,No,Yes,No,No
40,15,85,2,0.4,Under,0,No,No,Yes,No,No
53,29,83,4,1,Grad,0,No,No,Yes,No,No
27,0,33,4,1,Prof,0,No,No,No,No,No
58,33,50,4,2.1,Under,0,No,No,No,Yes,No
47,22,58,4,3.6,Prof,0,No,No,Yes,Yes,No
28,3,115,4,3.1,Grad,0,No,No,No,No,Yes
46,20,145,2,6.3,Under,0,Yes,Yes,Yes,No,No
43,19,161,2,7.5,Under,0,No,No,No,No,No
56,30,38,1,0.2,Under,0,No,No,No,No,No
28,3,28,4,0.8,Under,0,No,No,Yes,No,No
42,18,75,3,2.33,Under,0,No,No,No,Yes,No
32,7,35,3,1.3,Under,116,No,No,No,Yes,No
62,38,24,2,1,Under,116,No,No,No,Yes,No
37,13,78,4,0.1,Grad,0,No,No,Yes,No,No
51,26,113,1,1.3,Prof,161,No,No,Yes,No,No
39,13,75,3,2.1,Under,224,No,No,Yes,No,No
43,17,91,1,5.7,Under,0,No,No,Yes,No,No
52,28,31,4,0.2,Under,141,No,No,Yes,Yes,No
30,6,45,1,1.8,Grad,0,No,No,Yes,No,No
52,26,80,3,0.8,Under,0,No,No,No,No,No
61,35,50,3,1.4,Prof,112,No,No,Yes,No,No
36,9,31,4,1,Grad,0,Yes,No,Yes,No,No
58,32,113,2,3.8,Grad,119,No,Yes,Yes,Yes,Yes
47,23,29,4,0.6,Under,0,No,No,Yes,No,No
64,39,59,2,1.5,Under,139,No,No,Yes,No,No
52,27,43,1,1.3,Grad,0,Yes,No,Yes,No,No
58,28,122,1,3,Prof,115,No,No,Yes,No,Yes
48,24,29,1,1,Under,0,No,No,No,No,No
64,40,91,2,0,Prof,0,No,No,Yes,Yes,No
58,32,65,3,2.2,Prof,0,No,No,Yes,No,No
47,23,22,1,1,Under,0,No,No,No,Yes,No
49,23,71,1,1.4,Prof,0,No,No,No,No,No
31,4,60,4,2,Grad,0,No,No,Yes,Yes,No
61,37,60,3,2,Prof,0,No,No,Yes,No,No
51,25,69,1,0.3,Under,0,No,No,Yes,Yes,No
28,-2,48,2,1.75,Prof,89,No,No,Yes,No,No
39,13,21,3,0.2,Grad,0,No,No,No,No,No
54,28,53,4,2.8,Grad,0,Yes,No,No,No,No
50,24,29,3,0.9,Prof,0,No,No,No,No,No
30,4,60,4,2.2,Grad,0,No,No,Yes,No,No
64,39,42,3,0.5,Grad,116,No,No,Yes,No,No
29,3,69,3,0.3,Prof,0,No,No,No,No,No
48,24,20,1,1,Under,0,No,No,Yes,Yes,No
