@relation 'd-weka.filters.unsupervised.attribute.StringToNominal-R12,14-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R8,10,13-14-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace객실등급-R1-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace생존여부-R2-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace성별-R3-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace나이-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace동승_형제_배우자수-R5-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace동승_부모_자녀수-R6-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace요금-R7-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace탑승위치-R8-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace구명보트번호-Rlast-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:1등급,2:2등급,3:3등급-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N0:사망,1:생존-weka.filters.unsupervised.attribute.RenameNominalValues-R3-Nfemale:여성,male:남성'

@attribute 객실등급 {1등급,2등급,3등급}
@attribute 생존여부 {사망,생존}
@attribute 성별 {여성,남성}
@attribute 나이 numeric
@attribute 동승_형제_배우자수 numeric
@attribute 동승_부모_자녀수 numeric
@attribute 요금 numeric
@attribute 탑승위치 {C,Q,S}
@attribute 구명보트번호 {2,11,3,10,D,4,9,6,B,8,A,5,7,C,14,'5 9',13,1,15,'5 7','8 10',12,16,'13 15 B','C D','15 16','13 15'}

@data
1등급,사망,남성,?,0,0,39.6,C,?
1등급,생존,여성,44,0,0,27.7208,C,6
1등급,생존,여성,59,2,0,51.4792,S,D
1등급,생존,여성,60,0,0,76.2917,C,8
1등급,생존,여성,41,0,0,134.5,C,3
1등급,사망,남성,45,0,0,26.55,S,?
1등급,사망,남성,?,0,0,31,S,?
1등급,생존,남성,42,0,0,26.2875,S,5
1등급,생존,여성,53,0,0,27.4458,C,6
1등급,생존,남성,36,0,1,512.3292,C,3
1등급,생존,여성,58,0,1,512.3292,C,3
1등급,사망,남성,33,0,0,5,S,?
1등급,사망,남성,28,0,0,47.1,S,?
1등급,사망,남성,17,0,0,47.1,S,?
1등급,생존,남성,11,1,2,120,S,4
1등급,생존,여성,14,1,2,120,S,4
1등급,생존,남성,36,1,2,120,S,C
1등급,생존,여성,36,1,2,120,S,4
1등급,사망,남성,49,0,0,26,S,?
1등급,생존,여성,?,0,0,27.7208,C,5
1등급,사망,남성,36,1,0,78.85,S,?
1등급,생존,여성,76,1,0,78.85,S,6
1등급,사망,남성,46,1,0,61.175,S,?
1등급,생존,여성,47,1,0,61.175,S,4
1등급,생존,남성,27,1,0,53.1,S,5
1등급,생존,여성,33,1,0,53.1,S,5
1등급,생존,여성,36,0,0,262.375,C,4
1등급,생존,여성,30,0,0,86.5,S,8
1등급,생존,남성,45,0,0,29.7,C,7
1등급,생존,여성,?,0,1,55,S,6
1등급,사망,남성,?,0,0,0,S,?
1등급,사망,남성,27,1,0,136.7792,C,?
1등급,생존,여성,26,1,0,136.7792,C,4
1등급,생존,여성,22,0,0,151.55,S,11
1등급,사망,남성,?,0,0,52,S,?
1등급,사망,남성,47,0,0,25.5875,S,?
1등급,생존,여성,39,1,1,83.1583,C,14
1등급,사망,남성,37,1,1,83.1583,C,?
1등급,생존,여성,64,0,2,83.1583,C,14
1등급,생존,여성,55,2,0,25.7,S,2
1등급,사망,남성,?,0,0,26.55,S,?
1등급,사망,남성,70,1,1,71,S,?
1등급,생존,여성,36,0,2,71,S,7
1등급,생존,여성,64,1,1,26.55,S,7
1등급,사망,남성,39,1,0,71.2833,C,?
1등급,생존,여성,38,1,0,71.2833,C,4
1등급,생존,남성,51,0,0,26.55,S,'5 9'
1등급,생존,남성,27,0,0,30.5,S,3
1등급,생존,여성,33,0,0,151.55,S,8
1등급,사망,남성,31,1,0,52,S,?
1등급,생존,여성,27,1,2,52,S,3
1등급,생존,남성,31,1,0,57,S,3
1등급,생존,여성,17,1,0,57,S,3
1등급,생존,남성,53,1,1,81.8583,S,13
1등급,생존,남성,4,0,2,81.8583,S,5
1등급,생존,여성,54,1,1,81.8583,S,5
1등급,사망,남성,50,1,0,106.425,C,?
1등급,생존,여성,27,1,1,247.5208,C,6
1등급,생존,여성,48,1,0,106.425,C,2
1등급,생존,여성,48,1,0,39.6,C,1
1등급,생존,남성,49,1,0,56.9292,C,1
1등급,사망,남성,39,0,0,29.7,C,?
1등급,생존,여성,23,0,1,83.1583,C,7
1등급,생존,여성,38,0,0,227.525,C,4
1등급,생존,여성,54,1,0,78.2667,C,4
1등급,사망,여성,36,0,0,31.6792,C,?
1등급,사망,남성,?,0,0,221.7792,S,?
1등급,생존,여성,?,0,0,31.6833,S,7
1등급,생존,여성,?,0,0,110.8833,C,4
1등급,생존,남성,36,0,0,26.3875,S,5
1등급,사망,남성,30,0,0,27.75,C,?
1등급,생존,여성,24,3,2,263,S,10
1등급,생존,여성,28,3,2,263,S,10
1등급,생존,여성,23,3,2,263,S,10
1등급,사망,남성,19,3,2,263,S,?
1등급,사망,남성,64,1,4,263,S,?
1등급,생존,여성,60,1,4,263,S,10
1등급,생존,여성,30,0,0,56.9292,C,1
1등급,사망,남성,?,0,0,26.55,S,?
1등급,생존,남성,50,2,0,133.65,S,5
1등급,생존,남성,43,1,0,27.7208,C,5
1등급,생존,여성,?,1,0,133.65,S,5
1등급,생존,여성,22,0,2,49.5,C,5
1등급,생존,남성,60,1,1,79.2,C,5
1등급,생존,여성,48,1,1,79.2,C,5
1등급,사망,남성,?,0,0,0,S,?
1등급,사망,남성,37,1,0,53.1,S,?
1등급,생존,여성,35,1,0,53.1,S,D
1등급,사망,남성,47,0,0,38.5,S,?
1등급,생존,여성,35,0,0,211.5,C,4
1등급,생존,여성,22,0,1,59.4,C,7
1등급,생존,여성,45,0,1,59.4,C,7
1등급,사망,남성,24,0,0,79.2,C,?
1등급,생존,남성,49,1,0,89.1042,C,5
1등급,생존,여성,?,1,0,89.1042,C,5
1등급,사망,남성,71,0,0,34.6542,C,?
1등급,생존,남성,53,0,0,28.5,C,B
1등급,생존,여성,19,0,0,30,S,3
1등급,사망,남성,38,0,1,153.4625,S,?
1등급,생존,여성,58,0,1,153.4625,S,3
1등급,생존,남성,23,0,1,63.3583,C,7
1등급,생존,여성,45,0,1,63.3583,C,7
1등급,사망,남성,46,0,0,79.2,C,?
1등급,생존,남성,25,1,0,55.4417,C,5
1등급,생존,여성,25,1,0,55.4417,C,5
1등급,생존,남성,48,1,0,76.7292,C,3
1등급,생존,여성,49,1,0,76.7292,C,3
1등급,사망,남성,?,0,0,42.4,S,?
1등급,사망,남성,45,1,0,83.475,S,?
1등급,생존,여성,35,1,0,83.475,S,D
1등급,사망,남성,40,0,0,0,S,?
1등급,생존,남성,27,0,0,76.7292,C,3
1등급,생존,남성,?,0,0,30,S,3
1등급,생존,여성,24,0,0,83.1583,C,7
1등급,사망,남성,55,1,1,93.5,S,?
1등급,생존,여성,52,1,1,93.5,S,3
1등급,사망,남성,42,0,0,42.5,S,?
1등급,사망,남성,?,0,0,51.8625,S,?
1등급,사망,남성,55,0,0,50,S,?
1등급,생존,여성,16,0,1,57.9792,C,4
1등급,생존,여성,44,0,1,57.9792,C,4
1등급,생존,여성,51,1,0,77.9583,S,10
1등급,사망,남성,42,1,0,52,S,?
1등급,생존,여성,35,1,0,52,S,8
1등급,생존,남성,35,0,0,26.55,C,15
1등급,생존,남성,38,1,0,90,S,D
1등급,사망,남성,?,0,0,30.6958,C,14
1등급,생존,여성,35,1,0,90,S,D
1등급,생존,여성,38,0,0,80,?,6
1등급,사망,여성,50,0,0,28.7125,C,?
1등급,생존,남성,49,0,0,0,S,C
1등급,사망,남성,46,0,0,26,S,?
1등급,사망,남성,50,0,0,26,S,?
1등급,사망,남성,32.5,0,0,211.5,C,?
1등급,사망,남성,58,0,0,29.7,C,?
1등급,사망,남성,41,1,0,51.8625,S,?
1등급,생존,여성,?,1,0,51.8625,S,8
1등급,생존,남성,42,1,0,52.5542,S,5
1등급,생존,여성,45,1,0,52.5542,S,5
1등급,사망,남성,?,0,0,26.55,S,?
1등급,생존,여성,39,0,0,211.3375,S,2
1등급,생존,여성,49,0,0,25.9292,S,8
1등급,생존,여성,30,0,0,106.425,C,2
1등급,생존,남성,35,0,0,512.3292,C,3
1등급,사망,남성,?,0,0,27.7208,C,?
1등급,사망,남성,42,0,0,26.55,S,?
1등급,생존,여성,55,0,0,27.7208,C,6
1등급,생존,여성,16,0,1,39.4,S,9
1등급,생존,여성,51,0,1,39.4,S,9
1등급,사망,남성,29,0,0,30,S,?
1등급,생존,여성,21,0,0,77.9583,S,10
1등급,사망,남성,30,0,0,45.5,S,?
1등급,생존,여성,58,0,0,146.5208,C,?
1등급,생존,여성,15,0,1,211.3375,S,2
1등급,사망,남성,30,0,0,26,S,?
1등급,생존,여성,16,0,0,86.5,S,8
1등급,생존,남성,?,0,0,29.7,C,7
1등급,사망,남성,19,1,0,53.1,S,?
1등급,생존,여성,18,1,0,53.1,S,10
1등급,생존,여성,24,0,0,49.5042,C,6
1등급,사망,남성,46,0,0,75.2417,C,?
1등급,사망,남성,54,0,0,51.8625,S,?
1등급,생존,남성,36,0,0,26.2875,S,7
1등급,사망,남성,28,1,0,82.1708,C,?
1등급,생존,여성,?,1,0,82.1708,C,6
1등급,사망,남성,65,0,0,26.55,S,?
1등급,사망,남성,44,2,0,90,Q,?
1등급,생존,여성,33,1,0,90,Q,14
1등급,생존,여성,37,1,0,90,Q,14
1등급,생존,남성,30,1,0,57.75,C,11
1등급,사망,남성,55,0,0,30.5,S,?
1등급,사망,남성,47,0,0,42.4,S,?
1등급,사망,남성,37,0,1,29.7,C,?
1등급,생존,여성,31,1,0,113.275,C,6
1등급,생존,여성,23,1,0,113.275,C,6
1등급,사망,남성,58,0,2,113.275,C,?
1등급,생존,여성,19,0,2,26.2833,S,5
1등급,사망,남성,64,0,0,26,S,?
1등급,생존,여성,39,0,0,108.9,C,8
1등급,생존,남성,?,0,0,25.7417,C,7
1등급,생존,여성,22,0,1,61.9792,C,5
1등급,사망,남성,65,0,1,61.9792,C,?
1등급,사망,남성,28.5,0,0,27.7208,C,?
1등급,사망,남성,?,0,0,0,S,?
1등급,사망,남성,45.5,0,0,28.5,S,?
1등급,사망,남성,23,0,0,93.5,S,?
1등급,사망,남성,29,1,0,66.6,S,?
1등급,생존,여성,22,1,0,66.6,S,8
1등급,사망,남성,18,1,0,108.9,C,?
1등급,생존,여성,17,1,0,108.9,C,8
1등급,생존,여성,30,0,0,93.5,S,3
1등급,생존,남성,52,0,0,30.5,S,6
1등급,사망,남성,47,0,0,52,S,?
1등급,생존,여성,56,0,1,83.1583,C,7
1등급,사망,남성,38,0,0,0,S,?
1등급,생존,남성,?,0,0,39.6,S,A
1등급,사망,남성,22,0,0,135.6333,C,?
1등급,사망,남성,?,0,0,227.525,C,?
1등급,생존,여성,43,0,1,211.3375,S,2
1등급,사망,남성,31,0,0,50.4958,S,?
1등급,생존,남성,45,0,0,26.55,S,9
1등급,사망,남성,?,0,0,50,S,?
1등급,생존,여성,33,0,0,27.7208,C,11
1등급,사망,남성,46,0,0,79.2,C,?
1등급,사망,남성,36,0,0,40.125,C,?
1등급,생존,여성,33,0,0,86.5,S,8
1등급,사망,남성,55,1,0,59.4,C,?
1등급,생존,여성,54,1,0,59.4,C,6
1등급,사망,남성,33,0,0,26.55,S,?
1등급,생존,남성,13,2,2,262.375,C,4
1등급,생존,여성,18,2,2,262.375,C,4
1등급,생존,여성,21,2,2,262.375,C,4
1등급,사망,남성,61,1,3,262.375,C,?
1등급,생존,여성,48,1,3,262.375,C,4
1등급,생존,남성,?,0,0,30.5,S,3
1등급,생존,여성,24,0,0,69.3,C,9
1등급,생존,남성,?,0,0,26,S,1
1등급,생존,여성,35,1,0,57.75,C,11
1등급,생존,여성,30,0,0,31,C,4
1등급,생존,남성,34,0,0,26.55,S,7
1등급,생존,여성,40,0,0,153.4625,S,3
1등급,생존,남성,35,0,0,26.2875,S,5
1등급,사망,남성,50,1,0,55.9,S,?
1등급,생존,여성,39,1,0,55.9,S,11
1등급,생존,남성,56,0,0,35.5,C,3
1등급,생존,남성,28,0,0,35.5,S,7
1등급,사망,남성,56,0,0,26.55,S,?
1등급,사망,남성,56,0,0,30.6958,C,?
1등급,사망,남성,24,1,0,60,S,?
1등급,사망,남성,?,0,0,26,S,?
1등급,생존,여성,18,1,0,60,S,6
1등급,생존,남성,24,1,0,82.2667,S,7
1등급,생존,여성,23,1,0,82.2667,S,7
1등급,생존,남성,6,0,2,134.5,C,3
1등급,생존,남성,45,1,1,134.5,C,3
1등급,생존,여성,40,1,1,134.5,C,3
1등급,사망,남성,57,1,0,146.5208,C,?
1등급,생존,여성,?,1,0,146.5208,C,6
1등급,생존,남성,32,0,0,30.5,C,3
1등급,사망,남성,62,0,0,26.55,S,?
1등급,생존,남성,54,1,0,55.4417,C,1
1등급,생존,여성,43,1,0,55.4417,C,5
1등급,생존,여성,52,1,0,78.2667,C,4
1등급,사망,남성,?,0,0,27.7208,C,?
1등급,생존,여성,62,0,0,80,?,6
1등급,사망,남성,67,1,0,221.7792,S,?
1등급,사망,여성,63,1,0,221.7792,S,?
1등급,사망,남성,61,0,0,32.3208,S,?
1등급,생존,여성,48,0,0,25.9292,S,8
1등급,생존,여성,18,0,2,79.65,S,8
1등급,사망,남성,52,1,1,79.65,S,?
1등급,생존,여성,39,1,1,79.65,S,8
1등급,생존,남성,48,1,0,52,S,'5 7'
1등급,생존,여성,?,1,0,52,S,'5 7'
1등급,사망,남성,49,1,1,110.8833,C,?
1등급,생존,남성,17,0,2,110.8833,C,B
1등급,생존,여성,39,1,1,110.8833,C,4
1등급,생존,여성,?,0,0,79.2,C,D
1등급,생존,남성,31,0,0,28.5375,C,7
1등급,사망,남성,40,0,0,27.7208,C,?
1등급,사망,남성,61,0,0,33.5,S,?
1등급,사망,남성,47,0,0,34.0208,S,?
1등급,생존,여성,35,0,0,512.3292,C,3
1등급,사망,남성,64,1,0,75.25,C,?
1등급,생존,여성,60,1,0,75.25,C,5
1등급,사망,남성,60,0,0,26.55,S,?
1등급,사망,남성,54,0,1,77.2875,S,?
1등급,사망,남성,21,0,1,77.2875,S,?
1등급,생존,여성,55,0,0,135.6333,C,8
1등급,생존,여성,31,0,2,164.8667,S,8
1등급,사망,남성,57,1,1,164.8667,S,?
1등급,생존,여성,45,1,1,164.8667,S,8
1등급,사망,남성,50,1,1,211.5,C,?
1등급,사망,남성,27,0,2,211.5,C,?
1등급,생존,여성,50,1,1,211.5,C,4
1등급,생존,여성,21,0,0,26.55,S,'8 10'
1등급,사망,남성,51,0,1,61.3792,C,?
1등급,생존,남성,21,0,1,61.3792,C,A
1등급,사망,남성,?,0,0,35,S,?
1등급,생존,여성,31,0,0,134.5,C,3
1등급,생존,남성,?,0,0,35.5,S,D
1등급,사망,남성,62,0,0,26.55,S,?
1등급,생존,여성,36,0,0,135.6333,C,8
2등급,사망,남성,30,1,0,24,C,?
2등급,생존,여성,28,1,0,24,C,10
2등급,사망,남성,30,0,0,13,S,?
2등급,사망,남성,18,0,0,11.5,S,?
2등급,사망,남성,25,0,0,10.5,S,?
2등급,사망,남성,34,1,0,26,S,?
2등급,생존,여성,36,1,0,26,S,11
2등급,사망,남성,57,0,0,13,S,?
2등급,사망,남성,18,0,0,11.5,S,?
2등급,사망,남성,23,0,0,10.5,S,?
2등급,생존,여성,36,0,0,13,S,10
2등급,사망,남성,28,0,0,10.5,S,?
2등급,사망,남성,51,0,0,12.525,S,?
2등급,생존,남성,32,1,0,26,S,13
2등급,생존,여성,19,1,0,26,S,13
2등급,사망,남성,28,0,0,26,S,?
2등급,생존,남성,1,2,1,39,S,11
2등급,생존,여성,4,2,1,39,S,11
2등급,생존,여성,12,2,1,39,S,13
2등급,생존,여성,36,0,3,39,S,11
2등급,생존,남성,34,0,0,13,S,13
2등급,생존,여성,19,0,0,13,S,12
2등급,사망,남성,23,0,0,13,S,?
2등급,사망,남성,26,0,0,13,S,?
2등급,사망,남성,42,0,0,13,S,?
2등급,사망,남성,27,0,0,13,S,?
2등급,생존,여성,24,0,0,13,S,11
2등급,생존,여성,15,0,2,39,S,14
2등급,사망,남성,60,1,1,39,S,?
2등급,생존,여성,40,1,1,39,S,14
2등급,생존,여성,20,1,0,26,S,12
2등급,사망,남성,25,1,0,26,S,?
2등급,생존,여성,36,0,0,13,S,9
2등급,사망,남성,25,0,0,13,S,?
2등급,사망,남성,42,0,0,13,S,?
2등급,생존,여성,42,0,0,13,S,?
2등급,생존,남성,0.8333,0,2,29,S,13
2등급,생존,남성,26,1,1,29,S,13
2등급,생존,여성,22,1,1,29,S,13
2등급,생존,여성,35,0,0,21,S,14
2등급,사망,남성,?,0,0,0,S,?
2등급,사망,남성,19,0,0,13,S,?
2등급,사망,여성,44,1,0,26,S,?
2등급,사망,남성,54,1,0,26,S,?
2등급,사망,남성,52,0,0,13.5,S,?
2등급,사망,남성,37,1,0,26,S,?
2등급,사망,여성,29,1,0,26,S,?
2등급,생존,여성,25,1,1,30,S,12
2등급,생존,여성,45,0,2,30,S,12
2등급,사망,남성,29,1,0,26,S,?
2등급,생존,여성,28,1,0,26,S,14
2등급,사망,남성,29,0,0,10.5,S,?
2등급,사망,남성,28,0,0,13,S,?
2등급,생존,남성,24,0,0,10.5,S,9
2등급,생존,여성,8,0,2,26.25,S,14
2등급,사망,남성,31,1,1,26.25,S,?
2등급,생존,여성,31,1,1,26.25,S,14
2등급,생존,여성,22,0,0,10.5,S,14
2등급,사망,여성,30,0,0,13,S,?
2등급,사망,여성,?,0,0,21,S,?
2등급,사망,남성,21,0,0,11.5,S,?
2등급,사망,남성,?,0,0,0,S,?
2등급,생존,남성,8,1,1,36.75,S,14
2등급,사망,남성,18,0,0,73.5,S,?
2등급,생존,여성,48,0,2,36.75,S,14
2등급,생존,여성,28,0,0,13,S,13
2등급,사망,남성,32,0,0,13,S,?
2등급,사망,남성,17,0,0,73.5,S,?
2등급,사망,남성,29,1,0,27.7208,C,?
2등급,생존,여성,24,1,0,27.7208,C,12
2등급,사망,남성,25,0,0,31.5,S,?
2등급,사망,남성,18,0,0,73.5,S,?
2등급,생존,여성,18,0,1,23,S,?
2등급,생존,여성,34,0,1,23,S,?
2등급,사망,남성,54,0,0,26,S,?
2등급,생존,남성,8,0,2,32.5,S,10
2등급,사망,남성,42,1,1,32.5,S,?
2등급,생존,여성,34,1,1,32.5,S,10
2등급,생존,여성,27,1,0,13.8583,C,12
2등급,생존,여성,30,1,0,13.8583,C,12
2등급,사망,남성,23,0,0,13,S,?
2등급,사망,남성,21,0,0,13,S,?
2등급,사망,남성,18,0,0,13,S,?
2등급,사망,남성,40,1,0,26,S,?
2등급,생존,여성,29,1,0,26,S,16
2등급,사망,남성,18,0,0,10.5,S,?
2등급,사망,남성,36,0,0,13,S,?
2등급,사망,남성,?,0,0,0,S,?
2등급,사망,여성,38,0,0,13,S,?
2등급,사망,남성,35,0,0,26,S,?
2등급,사망,남성,38,1,0,21,S,?
2등급,사망,남성,34,1,0,21,S,?
2등급,생존,여성,34,0,0,13,S,12
2등급,사망,남성,16,0,0,26,S,?
2등급,사망,남성,26,0,0,10.5,S,?
2등급,사망,남성,47,0,0,10.5,S,?
2등급,사망,남성,21,1,0,11.5,S,?
2등급,사망,남성,21,1,0,11.5,S,?
2등급,사망,남성,24,0,0,13.5,S,?
2등급,사망,남성,24,0,0,13,S,?
2등급,사망,남성,34,0,0,13,S,?
2등급,사망,남성,30,0,0,13,S,?
2등급,사망,남성,52,0,0,13,S,?
2등급,사망,남성,30,0,0,13,S,?
2등급,생존,남성,0.6667,1,1,14.5,S,4
2등급,생존,여성,24,0,2,14.5,S,4
2등급,사망,남성,44,0,0,13,S,?
2등급,생존,여성,6,0,1,33,S,11
2등급,사망,남성,28,0,1,33,S,?
2등급,생존,남성,62,0,0,10.5,S,15
2등급,사망,남성,30,0,0,10.5,S,?
2등급,생존,여성,7,0,2,26.25,S,14
2등급,사망,남성,43,1,1,26.25,S,?
2등급,생존,여성,45,1,1,26.25,S,14
2등급,생존,여성,24,1,2,65,S,9
2등급,생존,여성,24,1,2,65,S,9
2등급,사망,남성,49,1,2,65,S,?
2등급,생존,여성,48,1,2,65,S,9
2등급,생존,여성,55,0,0,16,S,13
2등급,사망,남성,24,2,0,73.5,S,?
2등급,사망,남성,32,2,0,73.5,S,?
2등급,사망,남성,21,2,0,73.5,S,?
2등급,사망,여성,18,1,1,13,S,?
2등급,생존,여성,20,2,1,23,S,4
2등급,사망,남성,23,2,1,11.5,S,?
2등급,사망,남성,36,0,0,13,S,?
2등급,생존,여성,54,1,3,23,S,4
2등급,사망,남성,50,0,0,13,S,?
2등급,사망,남성,44,1,0,26,S,?
2등급,생존,여성,29,1,0,26,S,10
2등급,사망,남성,21,0,0,73.5,S,?
2등급,생존,남성,42,0,0,13,S,10
2등급,사망,남성,63,1,0,26,S,?
2등급,사망,여성,60,1,0,26,S,?
2등급,사망,남성,33,0,0,12.275,S,?
2등급,생존,여성,17,0,0,10.5,S,?
2등급,사망,남성,42,1,0,27,S,?
2등급,생존,여성,24,2,1,27,S,12
2등급,사망,남성,47,0,0,15,S,?
2등급,사망,남성,24,2,0,31.5,S,?
2등급,사망,남성,22,2,0,31.5,S,?
2등급,사망,남성,32,0,0,10.5,S,?
2등급,생존,여성,23,0,0,13.7917,C,11
2등급,사망,남성,34,1,0,26,S,?
2등급,생존,여성,24,1,0,26,S,12
2등급,사망,여성,22,0,0,21,S,?
2등급,생존,여성,?,0,0,12.35,Q,10
2등급,사망,남성,35,0,0,12.35,Q,?
2등급,생존,여성,45,0,0,13.5,S,9
2등급,사망,남성,57,0,0,12.35,Q,?
2등급,사망,남성,?,0,0,0,S,?
2등급,사망,남성,31,0,0,10.5,S,?
2등급,사망,여성,26,1,1,26,S,?
2등급,사망,남성,30,1,1,26,S,?
2등급,사망,남성,?,0,0,10.7083,Q,?
2등급,생존,여성,1,1,2,41.5792,C,14
2등급,생존,여성,3,1,2,41.5792,C,14
2등급,사망,남성,25,1,2,41.5792,C,?
2등급,생존,여성,22,1,2,41.5792,C,14
2등급,생존,여성,17,0,0,12,C,12
2등급,생존,여성,?,0,0,33,S,11
2등급,생존,여성,34,0,0,10.5,S,14
2등급,사망,남성,36,0,0,12.875,C,?
2등급,사망,남성,24,0,0,10.5,S,?
2등급,사망,남성,61,0,0,12.35,Q,?
2등급,사망,남성,50,1,0,26,S,?
2등급,생존,여성,42,1,0,26,S,?
2등급,사망,여성,57,0,0,10.5,S,?
2등급,사망,남성,?,0,0,15.0458,C,?
2등급,생존,남성,1,0,2,37.0042,C,10
2등급,사망,남성,31,1,1,37.0042,C,?
2등급,생존,여성,24,1,1,37.0042,C,10
2등급,사망,남성,?,0,0,15.5792,C,?
2등급,사망,남성,30,0,0,13,S,?
2등급,사망,남성,40,0,0,16,S,?
2등급,사망,남성,32,0,0,13.5,S,?
2등급,사망,남성,30,0,0,13,S,?
2등급,사망,남성,46,0,0,26,S,?
2등급,생존,여성,13,0,1,19.5,S,14
2등급,생존,여성,41,0,1,19.5,S,14
2등급,생존,남성,19,0,0,10.5,S,B
2등급,사망,남성,39,0,0,13,S,?
2등급,사망,남성,48,0,0,13,S,?
2등급,사망,남성,70,0,0,10.5,S,?
2등급,사망,남성,27,0,0,13,S,?
2등급,사망,남성,54,0,0,14,S,?
2등급,사망,남성,39,0,0,26,S,?
2등급,사망,남성,16,0,0,10.5,S,?
2등급,사망,남성,62,0,0,9.6875,Q,?
2등급,사망,남성,32.5,1,0,30.0708,C,?
2등급,생존,여성,14,1,0,30.0708,C,?
2등급,생존,남성,2,1,1,26,S,D
