@relation 'd-weka.filters.unsupervised.attribute.StringToNominal-R12,14-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R8,10,13-14-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R5-9-weka.filters.unsupervised.attribute.Reorder-R1,3-4,2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute pclass {1,2,3}
@attribute sex {female,male}
@attribute age numeric
@attribute survived {0,1}

@data
1,male,0.448852,1
1,male,0.373695,0
1,female,0.298538,1
1,female,0.348643,1
1,female,0.286012,1
1,male,0.235908,0
1,male,0.799582,0
1,female,0.749478,1
1,female,0.373695,1
1,male,?,0
1,male,0.624217,1
1,male,0.536534,1
1,female,?,1
1,female,0.273486,1
1,male,0.749478,1
1,female,0.599165,1
1,male,?,0
1,male,0.461378,0
1,female,0.436325,1
1,male,0.586639,0
1,female,0.436325,1
1,female,0.273486,1
1,female,0.561586,1
1,male,0.298538,0
1,male,0.611691,1
1,female,?,1
1,male,0.887265,0
1,male,0.661795,1
1,female,0.235908,1
1,male,0.473904,0
1,female,0.724426,1
1,male,0.286012,1
1,female,0.561586,1
1,male,0.574113,0
1,male,0.311064,1
1,female,0.311064,1
1,male,0.599165,1
1,female,0.611691,1
1,male,?,0
1,male,0.561586,0
1,female,0.436325,1
1,male,0.498956,0
1,male,0.336117,1
1,male,?,1
1,female,0.298538,1
1,male,0.686847,0
1,female,0.649269,1
1,male,0.524008,0
1,male,?,0
1,male,0.686847,0
1,female,0.19833,1
1,female,0.54906,1
1,female,0.636743,1
1,male,0.524008,0
1,female,0.436325,1
1,male,0.436325,1
1,male,0.473904,1
1,male,?,0
1,female,0.436325,1
1,female,0.473904,1
1,female,0.624217,0
1,male,0.611691,1
1,male,0.574113,0
1,male,0.624217,0
1,male,0.40501,0
1,male,0.724426,0
1,male,0.511482,0
1,female,?,1
1,male,0.524008,1
1,female,0.561586,1
1,male,?,0
1,female,0.48643,1
1,female,0.611691,1
1,female,0.373695,1
1,male,0.436325,1
1,male,?,0
1,male,0.524008,0
1,female,0.686847,1
1,female,0.19833,1
1,female,0.636743,1
1,male,0.361169,0
1,female,0.26096,1
1,male,0.373695,0
1,female,0.724426,1
1,female,0.185803,1
1,male,0.373695,0
1,female,0.19833,1
1,male,?,1
1,male,0.235908,0
1,female,0.223382,1
1,female,0.298538,1
1,male,0.574113,0
1,male,0.674321,0
1,male,0.448852,1
1,male,0.348643,0
1,female,?,1
1,male,0.812108,0
1,male,0.54906,0
1,female,0.411273,1
1,female,0.461378,1
1,male,0.373695,1
1,male,0.686847,0
1,male,0.586639,0
1,male,0.461378,0
1,female,0.386221,1
1,female,0.286012,1
1,male,0.724426,0
1,female,0.235908,1
1,male,0.799582,0
1,female,0.48643,1
1,male,?,1
1,female,0.273486,1
1,male,0.812108,0
1,male,0.354906,0
1,male,?,0
1,male,0.56785,0
1,male,0.286012,0
1,male,0.361169,0
1,female,0.273486,1
1,male,0.223382,0
1,female,0.210856,1
1,female,0.373695,1
1,male,0.649269,1
1,male,0.586639,0
1,female,0.699374,1
1,male,0.473904,0
1,male,?,1
1,male,0.273486,0
1,male,?,0
1,female,0.536534,1
1,male,0.386221,0
1,male,0.561586,1
1,male,?,0
1,female,0.411273,1
1,male,0.574113,0
1,male,0.448852,0
1,female,0.411273,1
1,male,0.686847,0
1,female,0.674321,1
1,male,0.411273,0
1,male,0.160751,1
1,female,0.223382,1
1,female,0.26096,1
1,male,0.762004,0
1,female,0.599165,1
1,male,?,1
1,female,0.298538,1
1,male,?,1
1,female,0.436325,1
1,female,0.373695,1
1,male,0.423799,1
1,female,0.498956,1
1,male,0.436325,1
1,male,0.624217,0
1,female,0.48643,1
1,male,0.699374,1
1,male,0.348643,1
1,male,0.699374,0
1,male,0.699374,0
1,male,0.298538,0
1,male,?,0
1,female,0.223382,1
1,male,0.298538,1
1,female,0.286012,1
1,male,0.073069,1
1,male,0.561586,1
1,female,0.498956,1
1,male,0.7119,0
1,female,?,1
1,male,0.398747,1
1,male,0.77453,0
1,male,0.674321,1
1,female,0.536534,1
1,female,0.649269,1
1,male,?,0
1,female,0.77453,1
1,male,0.837161,0
1,female,0.787056,0
1,male,0.762004,0
1,female,0.599165,1
1,female,0.223382,1
1,male,0.649269,0
1,female,0.48643,1
1,male,0.599165,1
1,female,?,1
1,male,0.611691,0
1,male,0.210856,1
1,female,0.48643,1
1,female,?,1
1,male,0.386221,1
1,male,0.498956,0
1,male,0.762004,0
1,male,0.586639,0
1,female,0.436325,1
1,male,0.799582,0
1,female,0.749478,1
1,male,0.749478,0
1,male,0.674321,0
1,male,0.26096,0
1,female,0.686847,1
1,female,0.386221,1
1,male,0.7119,0
1,female,0.561586,1
1,male,0.624217,0
1,male,0.336117,0
1,female,0.624217,1
1,female,0.26096,1
1,male,0.636743,0
1,male,0.26096,1
1,male,?,0
1,female,0.386221,1
1,male,?,1
1,male,0.77453,0
1,female,0.448852,1
2,male,0.373695,0
2,female,0.348643,1
2,male,0.373695,0
2,male,0.223382,0
2,male,0.311064,0
2,male,0.423799,0
2,female,0.448852,1
2,male,0.7119,0
2,male,0.223382,0
2,male,0.286012,0
2,female,0.448852,1
2,male,0.348643,0
2,male,0.636743,0
2,male,0.398747,1
2,female,0.235908,1
2,male,0.348643,0
2,male,0.010438,1
2,female,0.048016,1
2,female,0.148225,1
2,female,0.448852,1
2,male,0.423799,1
2,female,0.235908,1
2,male,0.286012,0
2,male,0.323591,0
2,male,0.524008,0
2,male,0.336117,0
2,female,0.298538,1
2,female,0.185803,1
2,male,0.749478,0
2,female,0.498956,1
2,female,0.248434,1
2,male,0.311064,0
2,female,0.448852,1
2,male,0.311064,0
2,male,0.524008,0
2,female,0.524008,1
2,male,0.00835,1
2,male,0.323591,1
2,female,0.273486,1
2,female,0.436325,1
2,male,?,0
2,male,0.235908,0
2,female,0.54906,0
2,male,0.674321,0
2,male,0.649269,0
2,male,0.461378,0
2,female,0.361169,0
2,female,0.311064,1
2,female,0.561586,1
2,male,0.361169,0
2,female,0.348643,1
2,male,0.361169,0
2,male,0.348643,0
2,male,0.298538,1
2,female,0.098121,1
2,male,0.386221,0
2,female,0.386221,1
2,female,0.273486,1
2,female,0.373695,0
2,female,?,0
2,male,0.26096,0
2,male,?,0
2,male,0.098121,1
2,male,0.223382,0
2,female,0.599165,1
2,female,0.348643,1
2,male,0.398747,0
2,male,0.210856,0
2,male,0.361169,0
2,female,0.298538,1
2,male,0.311064,0
2,male,0.223382,0
2,female,0.223382,1
2,female,0.423799,1
2,male,0.674321,0
2,male,0.098121,1
2,male,0.524008,0
2,female,0.423799,1
2,female,0.336117,1
2,female,0.373695,1
2,male,0.286012,0
2,male,0.26096,0
2,male,0.223382,0
2,male,0.498956,0
2,female,0.361169,1
2,male,0.223382,0
2,male,0.448852,0
2,male,?,0
2,female,0.473904,0
2,male,0.436325,0
2,male,0.473904,0
2,male,0.423799,0
2,female,0.423799,1
2,male,0.19833,0
2,male,0.323591,0
2,male,0.586639,0
2,male,0.26096,0
2,male,0.26096,0
2,male,0.298538,0
2,male,0.298538,0
2,male,0.423799,0
2,male,0.373695,0
2,male,0.649269,0
2,male,0.373695,0
2,male,0.006263,1
2,female,0.298538,1
2,male,0.54906,0
2,female,0.073069,1
2,male,0.348643,0
2,male,0.77453,1
2,male,0.373695,0
2,female,0.085595,1
2,male,0.536534,0
2,female,0.561586,1
2,female,0.298538,1
2,female,0.298538,1
2,male,0.611691,0
2,female,0.599165,1
2,female,0.686847,1
2,male,0.298538,0
2,male,0.398747,0
2,male,0.26096,0
2,female,0.223382,0
2,female,0.248434,1
2,male,0.286012,0
2,male,0.448852,0
2,female,0.674321,1
2,male,0.624217,0
2,male,0.54906,0
2,female,0.361169,1
2,male,0.26096,0
2,male,0.524008,1
2,male,0.787056,0
2,female,0.749478,0
2,male,0.411273,0
2,female,0.210856,1
2,male,0.524008,0
2,female,0.298538,1
2,male,0.586639,0
2,male,0.298538,0
2,male,0.273486,0
2,male,0.398747,0
2,female,0.286012,1
2,male,0.423799,0
2,female,0.298538,1
2,female,0.273486,0
2,female,?,1
2,male,0.436325,0
2,female,0.561586,1
2,male,0.7119,0
2,male,?,0
2,male,0.386221,0
2,female,0.323591,0
2,male,0.373695,0
2,male,?,0
2,female,0.010438,1
2,female,0.03549,1
2,male,0.311064,0
2,female,0.273486,1
2,female,0.210856,1
2,female,?,1
2,female,0.423799,1
2,male,0.448852,0
2,male,0.298538,0
2,male,0.762004,0
2,male,0.624217,0
2,female,0.524008,1
2,female,0.7119,0
2,male,?,0
2,male,0.010438,1
2,male,0.386221,0
2,female,0.298538,1
2,male,?,0
2,male,0.373695,0
2,male,0.498956,0
2,male,0.398747,0
2,male,0.373695,0
2,male,0.574113,0
2,female,0.160751,1
2,female,0.511482,1
2,male,0.235908,1
2,male,0.48643,0
2,male,0.599165,0
2,male,0.874739,0
2,male,0.336117,0
2,male,0.674321,0
2,male,0.48643,0
2,male,0.19833,0
2,male,0.77453,0
2,male,0.40501,0
2,female,0.173277,1
2,male,0.022964,1
2,male,0.03549,1
2,male,0.455115,0
2,male,0.323591,0
2,male,0.235908,0
2,male,0.348643,0
2,male,0.248434,1
2,female,0.361169,1
2,male,0.48643,0
2,male,0.273486,1
2,male,?,1
2,male,0.286012,0
2,male,0.361169,1
2,male,0.348643,0
2,male,?,0
2,female,0.624217,1
2,male,0.235908,0
2,male,?,0
2,male,0.511482,0
2,female,0.26096,1
2,female,0.235908,1
2,male,0.536534,0
2,female,0.398747,1
2,male,0.423799,0
2,male,0.373695,1
2,male,0.336117,0
2,female,0.022964,1
2,female,0.098121,1
2,female,0.411273,1
2,male,0.448852,0
2,male,0.423799,0
2,female,0.373695,1
2,female,0.348643,1
2,male,0.286012,0
2,male,0.00835,1
2,male,0.03549,1
2,female,0.298538,1
2,female,0.624217,1
2,male,0.235908,0
2,female,0.26096,1
2,male,0.323591,0
2,male,0.311064,0
2,male,0.336117,0
2,female,0.311064,1
2,female,0.223382,1
2,female,0.248434,1
2,female,0.373695,1
2,male,0.736952,0
2,female,0.373695,1
2,male,0.436325,0
2,female,0.498956,1
2,male,0.311064,0
2,male,0.511482,0
2,male,0.311064,0
2,male,0.229645,0
2,male,0.173277,0
2,female,0.624217,1
2,male,0.286012,0
2,female,0.348643,1
2,female,0.336117,1
2,male,0.361169,0
2,female,0.336117,0
2,male,0.498956,0
2,female,0.386221,1
2,male,0.373695,0
2,male,0.286012,0
2,female,0.386221,1
2,male,?,0
2,female,0.148225,1
2,female,0.498956,1
2,female,0.40501,1
2,male,0.336117,0
2,female,0.361169,1
2,male,0.022964,1
2,female,0.048016,1
2,female,0.361169,1
2,female,0.009395,1
2,female,0.060542,1
2,male,0.448852,0
2,female,0.411273,1
2,male,0.824635,0
2,male,?,0
2,male,0.386221,1
2,male,?,1
2,female,0.323591,1
2,female,0.298538,0
3,male,0.524008,0
3,male,0.160751,0
3,male,0.19833,0
3,female,0.436325,1
3,female,0.19833,1
3,male,0.311064,1
3,male,0.248434,1
3,female,0.223382,1
3,male,0.373695,0
3,male,0.323591,0
3,female,0.498956,0
3,male,0.00835,1
3,female,0.223382,1
3,male,0.323591,1
3,male,0.323591,0
3,male,0.248434,0
3,male,0.298538,0
3,male,0.311064,0
3,male,0.436325,0
3,male,0.223382,0
3,male,0.398747,0
3,female,0.235908,1
3,male,0.048016,0
3,female,0.073069,0
3,female,0.022964,0
3,female,0.210856,1
3,female,0.473904,0
3,female,0.110647,0
3,female,0.135699,0
3,male,0.48643,0
3,male,0.336117,1
3,male,0.323591,0
3,female,0.48643,0
3,male,0.248434,0
3,male,0.323591,0
3,male,0.311064,0
3,female,0.223382,0
3,male,0.298538,0
3,male,0.436325,0
3,male,0.060542,0
3,male,0.110647,0
3,male,0.03549,1
3,male,0.160751,0
3,female,0.060542,1
3,male,0.498956,0
3,male,0.286012,1
3,female,0.473904,1
3,female,0.561586,1
3,male,0.26096,0
3,male,0.286012,0
3,female,0.210856,0
3,male,0.373695,0
3,male,0.286012,0
3,female,0.160751,1
3,male,0.248434,0
3,male,0.398747,0
3,female,0.411273,1
3,female,0.007306,1
3,female,0.007306,1
3,female,0.060542,1
3,female,0.298538,1
3,female,0.223382,1
3,male,0.498956,0
3,male,0.323591,0
3,male,0.248434,1
3,female,0.223382,0
3,female,0.561586,0
3,female,0.336117,0
3,male,0.273486,0
3,male,0.235908,0
3,male,0.323591,0
3,male,0.273486,0
3,male,?,0
3,male,0.248434,0
3,male,0.398747,1
3,male,0.26096,0
3,male,0.223382,0
3,male,0.323591,0
3,male,0.073069,0
3,female,0.110647,0
3,male,?,0
3,female,?,0
3,female,?,0
3,male,0.498956,0
3,female,0.398747,0
3,male,0.26096,0
3,female,0.273486,1
3,female,0.248434,0
3,male,0.361169,0
3,male,0.273486,0
3,male,0.273486,0
3,male,0.436325,0
3,female,0.229645,0
3,male,0.26096,1
3,male,0.235908,0
3,female,0.223382,0
3,female,0.26096,0
3,female,0.373695,0
3,male,0.223382,0
3,male,0.473904,0
3,male,0.210856,0
3,male,0.210856,0
3,female,0.26096,0
3,male,0.26096,0
3,male,0.26096,0
3,male,?,0
3,female,?,0
3,male,0.348643,0
3,male,0.298538,0
3,female,0.19833,1
3,female,0.461378,0
3,male,0.348643,0
3,male,0.298538,0
3,male,0.26096,0
3,male,0.398747,1
3,male,0.361169,0
3,male,0.323591,0
3,male,0.223382,0
3,male,0.248434,0
3,male,0.223382,1
3,male,0.298538,0
3,male,0.448852,0
3,male,0.298538,0
3,male,0.386221,0
3,male,0.386221,0
3,female,0.273486,1
3,female,0.373695,0
3,male,0.881002,0
3,male,0.536534,0
3,male,0.436325,0
3,male,0.336117,0
3,male,0.235908,0
3,male,0.373695,0
3,male,0.110647,1
3,male,0.03549,1
3,female,0.448852,1
3,male,0.736952,0
3,male,0.235908,0
3,female,0.210856,1
3,male,0.54906,0
3,male,0.210856,0
3,male,0.279749,0
3,male,0.561586,1
3,female,0.273486,0
3,male,0.235908,0
3,female,0.373695,1
3,male,0.361169,1
3,male,0.002087,0
3,male,0.423799,0
3,female,0.348643,0
3,male,0.336117,0
3,male,0.311064,0
3,male,0.298538,0
3,male,0.273486,0
3,male,0.26096,0
3,male,0.210856,0
3,male,?,0
3,female,?,1
3,male,0.455115,1
3,female,0.448852,1
3,male,0.373695,1
3,male,0.19833,0
3,male,0.010438,1
3,female,0,1
3,male,0.323591,0
3,female,0.411273,1
3,male,0.311064,0
3,male,?,0
3,male,?,0
3,male,0.273486,0
3,male,0.448852,0
3,female,0.235908,1
3,male,0.210856,0
3,male,0.524008,0
3,male,0.536534,0
3,male,?,0
3,male,0.398747,0
3,male,0.235908,1
3,female,0.373695,1
3,female,0.298538,0
3,female,0.286012,1
3,male,0.411273,0
3,male,0.812108,0
3,male,0.298538,1
3,male,0.286012,0
3,female,0.273486,1
3,male,0.223382,0
3,male,0.19833,0
3,male,0.561586,0
3,male,?,0
3,male,0.48643,0
3,male,0.210856,0
3,male,0.185803,0
3,male,0.586639,0
3,female,0.060542,1
3,male,?,0
3,male,0.505219,0
3,male,0.505219,0
3,male,?,1
3,male,0.223382,0
3,female,?,0
3,male,?,0
3,male,?,0
3,male,0.323591,0
3,male,?,0
3,male,?,1
3,female,0.26096,0
3,female,0.110647,0
3,male,?,0
3,male,0.223382,0
3,male,0.19833,0
3,female,0.599165,0
3,male,?,0
3,male,?,0
3,male,0.311064,0
3,male,?,0
3,male,?,0
3,male,0.273486,0
3,female,0.19833,1
3,female,?,1
3,male,0.110647,1
3,male,0.411273,0
3,male,0.511482,0
3,female,0.386221,1
3,male,0.473904,0
3,male,0.110647,0
3,male,0.010438,0
3,male,0.135699,0
3,female,0.123173,0
3,female,0.19833,0
3,male,0.173277,0
3,male,0.498956,0
3,female,0.536534,0
3,male,0.636743,0
3,male,0.398747,0
3,male,?,0
3,male,0.248434,0
3,male,0.461378,0
3,male,0.348643,0
3,male,0.235908,0
3,female,0.298538,0
3,female,0.210856,0
3,male,?,0
3,male,?,0
3,male,0.348643,0
3,female,0.298538,1
3,male,0.248434,0
3,male,0.292275,0
3,male,0.511482,0
3,male,0.323591,0
3,male,0.26096,0
3,female,0.561586,1
3,female,?,0
3,male,0.311064,0
3,male,?,0
3,male,0.135699,0
3,female,?,1
3,male,0.336117,1
3,male,?,1
3,female,0.223382,0
3,female,0.323591,1
3,female,0.286012,0
3,female,0.273486,1
3,male,0.348643,0
3,female,0.348643,0
3,female,?,0
3,female,0.022964,1
3,female,0.273486,1
3,male,0.536534,0
3,male,0.348643,0
3,female,0.336117,1
3,male,?,0
3,female,?,1
3,male,0.524008,0
3,male,?,1
3,male,0.373695,0
3,male,?,0
3,female,0.336117,0
3,female,0.311064,0
3,male,?,0
3,male,0.361169,1
3,male,0.26096,1
3,male,?,0
3,male,0.248434,0
3,male,0.599165,0
3,male,0.210856,0
3,female,?,1
3,male,?,1
3,male,0.423799,0
3,male,0.323591,1
3,male,0.273486,0
3,male,0.411273,0
3,male,0.386221,0
3,male,0.361169,0
3,male,0.048016,1
3,female,0.010438,1
3,male,0.611691,0
3,male,0.411273,0
3,male,0.235908,0
3,female,0.336117,1
3,male,?,0
3,female,?,0
3,male,?,0
3,female,?,0
3,male,0.286012,0
3,male,0.398747,1
3,male,0.336117,0
3,female,0.248434,0
3,female,0.26096,0
3,male,0.398747,1
3,male,0.210856,0
3,male,0.26096,0
3,male,0.373695,0
3,male,0.26096,1
3,male,0.411273,0
3,male,0.273486,0
3,female,0.048016,1
3,male,0.48643,1
3,male,?,0
3,male,0.229645,0
3,male,?,0
3,male,?,0
3,female,?,1
3,female,?,1
3,male,0.430062,0
3,male,0.54906,0
3,male,?,1
3,male,?,0
3,female,?,0
3,male,?,0
3,male,?,0
3,male,?,0
3,female,0.273486,0
3,male,0.323591,0
3,female,0.048016,1
3,male,0.361169,1
3,female,0.323591,1
3,female,0.010438,0
3,male,0.223382,0
3,female,0.448852,0
3,male,?,0
3,male,0.311064,1
3,male,?,0
3,female,0.461378,0
3,male,?,0
3,male,?,1
3,male,?,0
3,female,0.273486,1
3,male,?,0
3,male,0.323591,1
3,male,0.361169,0
3,male,0.361169,0
3,male,0.273486,0
3,male,0.273486,1
3,male,?,0
3,female,?,0
3,female,?,0
3,female,?,0
3,female,?,0
3,male,0.398747,0
3,male,0.430062,0
3,female,?,0
3,male,?,0
3,male,0.448852,0
3,male,0.48643,0
3,male,0.298538,0
3,female,0.311064,0
3,female,0.561586,0
3,male,0.448852,0
3,female,0.373695,0
3,male,0.248434,1
3,male,?,0
3,male,0.348643,0
3,male,?,0
3,male,0.373695,0
3,female,0.323591,0
3,male,?,0
3,male,0.254697,0
3,male,0.336117,1
3,male,0.636743,0
3,female,0.286012,1
3,male,0.398747,1
3,male,?,0
3,male,?,0
3,female,?,1
3,male,0.298538,1
3,male,0.273486,0
3,female,?,0
3,male,?,0
3,male,?,0
3,male,0.361169,0
3,male,?,1
3,female,0.379958,0
3,female,?,1
3,male,?,0
3,male,0.436325,0
3,male,0.411273,0
3,female,?,1
3,male,?,0
3,female,?,1
3,male,?,1
3,female,?,1
3,female,?,1
3,male,?,1
3,female,?,1
3,male,?,0
3,female,?,1
3,female,0.185803,1
3,female,0.436325,0
3,male,?,0
3,male,0.298538,0
3,female,0.235908,0
3,female,?,0
3,female,?,0
3,female,?,0
3,male,0.693111,0
3,male,?,0
3,male,0.26096,1
3,male,?,0
3,male,0.298538,0
3,male,0.26096,0
3,male,0.348643,0
3,male,?,0
3,female,?,1
3,male,0.311064,0
3,male,0.073069,1
3,female,0.336117,1
3,male,?,0
3,female,?,1
3,male,?,0
3,male,?,0
3,male,0.423799,0
3,male,?,0
3,male,?,1
3,male,?,1
3,male,?,1
3,female,?,1
3,female,?,1
3,male,?,0
3,female,?,1
3,female,0.298538,1
3,male,?,0
3,female,?,1
3,female,?,1
3,female,?,1
3,male,0.223382,0
3,male,0.273486,0
3,female,0.185803,1
3,female,0.010438,1
3,male,0.248434,1
3,female,0.235908,1
3,male,0.411273,0
3,male,?,0
3,male,?,0
3,female,?,0
3,male,?,0
3,male,0.148225,1
3,female,0.173277,1
3,female,0.361169,0
3,male,0.348643,0
3,female,0.223382,1
3,female,0.323591,1
3,male,0.26096,0
3,male,0.511482,0
3,male,0.48643,1
3,male,0.26096,0
3,male,0.354906,0
3,female,0.273486,1
3,male,0.762004,0
3,male,?,0
3,male,?,0
3,female,?,1
3,male,?,0
3,male,?,0
3,male,?,0
3,male,0.286012,0
3,female,?,0
3,female,?,1
3,female,?,1
3,female,0.273486,1
3,male,?,1
3,female,?,1
3,male,0.110647,1
3,male,0.348643,0
3,male,0.524008,0
3,male,?,0
3,female,0.386221,0
3,male,0.348643,0
3,male,0.398747,1
3,male,0.248434,0
3,female,0.286012,0
3,female,0.248434,0
3,male,0.248434,0
3,male,0.19833,0
3,female,0.386221,1
3,female,?,0
3,male,0.022964,0
3,male,0.073069,0
3,female,0.03549,0
3,female,0.098121,0
3,female,0.361169,0
3,male,0.010438,0
3,male,0.085595,0
3,male,0.022964,0
3,male,0.19833,0
3,male,0.173277,0
3,female,0.511482,0
3,male,0.26096,0
3,male,0.235908,0
3,male,?,0
3,male,0.398747,0
3,male,0.007306,0
3,female,0.03549,0
3,female,0.323591,0
3,male,?,0
3,male,?,0
3,male,?,0
3,male,0.26096,0
3,male,0.311064,0
3,male,0.273486,0
3,male,0.311064,1
3,male,?,1
3,female,?,1
3,female,?,1
3,female,?,0
3,male,0.298538,0
3,female,0.348643,0
3,male,0.235908,0
3,male,?,0
3,male,0.311064,0
3,female,0.223382,0
3,male,0.398747,1
3,male,?,0
3,male,0.210856,0
3,male,0.298538,0
3,male,?,0
3,female,?,0
3,male,?,0
3,male,?,0
3,male,0.473904,0
3,male,0.26096,0
3,male,0.123173,0
3,male,0.048016,0
3,male,0.085595,0
3,male,0.022964,0
3,male,0.098121,0
3,female,0.48643,0
3,female,0.273486,0
3,male,0.436325,0
3,female,?,1
3,male,?,0
3,female,?,0
3,male,0.624217,0
3,female,0.586639,0
3,male,?,0
3,male,?,0
3,female,0.022964,0
3,male,0.223382,0
3,female,0.511482,0
3,female,?,1
3,male,0.624217,0
3,male,0.19833,0
3,male,?,1
3,male,?,0
3,male,?,0
3,male,0.311064,0
3,male,?,0
3,male,?,0
3,male,?,0
3,male,0.480167,0
3,male,?,0
3,male,0.17954,0
3,female,?,0
3,female,?,0
3,female,?,0
3,female,?,0
3,male,?,0
3,male,?,0
3,male,?,0
3,male,?,0
3,female,?,0
3,male,0.298538,0
3,female,0.26096,1
3,male,0.48643,0
3,male,?,0
3,male,?,0
3,male,?,0
3,female,0.010438,1
3,female,0.298538,1
3,female,0.048016,1
3,male,0.311064,1
3,male,0.248434,0
3,male,0.304801,0
3,male,?,0
3,male,?,0
3,male,?,0
3,male,0.361169,1
3,male,?,0
3,female,?,1
3,male,?,0
3,male,?,0
3,male,0.273486,0
3,male,?,0
3,male,0.498956,0
3,male,0.26096,0
3,female,0.223382,1
3,male,0.048016,0
3,male,0.123173,0
3,female,0.110647,0
3,female,0.022964,0
3,male,0.498956,0
3,female,0.561586,0
3,male,?,0
3,male,?,0
3,male,?,0
3,male,?,0
3,female,?,1
3,male,0.235908,0
3,male,0.373695,0
3,male,?,0
3,male,0.398747,0
3,male,?,0
3,male,0.411273,0
3,female,0.286012,1
3,male,0.26096,0
3,male,0.755741,0
3,male,0.235908,0
3,female,0.273486,0
3,male,0.386221,1
3,male,0.336117,0
3,female,0.022964,0
3,female,0.361169,0
3,male,0.19833,1
3,male,0.54906,1
3,male,0.311064,0
3,male,0.924843,0
3,male,0.173277,1
3,male,0.298538,0
3,male,0.311064,1
3,male,0.423799,0
3,male,0.003132,1
3,male,?,0
3,male,?,0
3,male,?,0
3,female,0.19833,1
3,male,?,0
3,male,?,0
3,female,?,1
3,male,0.398747,0
3,male,?,0
3,male,?,0
3,male,0.379958,0
3,male,0.54906,0
3,male,?,0
3,male,0.311064,1
3,male,?,0
3,male,0.085595,1
3,female,0.110647,1
3,female,0.361169,1
3,male,0.448852,0
3,female,0.223382,1
3,female,0.787056,1
3,male,?,0
3,male,0.141962,0
3,male,0.505219,0
3,female,0.123173,0
3,male,0.448852,0
3,female,0.373695,0
3,male,?,0
3,male,0.411273,0
3,male,0.348643,0
3,male,0.348643,0
3,male,0.586639,0
3,female,0.223382,0
3,male,0.386221,0
3,male,0.19833,0
3,female,0.386221,0
3,male,0.273486,1
3,male,0.248434,0
3,female,0.173277,0
3,male,0.273486,0
3,male,0.273486,0
3,male,?,0
3,male,?,0
3,male,?,0
3,male,0.40501,0
3,female,0.473904,1
3,male,0.636743,0
3,male,0.223382,0
3,male,0.26096,0
3,female,0.586639,1
3,male,?,0
3,male,?,0
3,male,?,0
3,male,0.354906,0
3,male,0.26096,0
3,male,0.336117,0
3,male,?,0
